datetime,sessionTime,posX,posY,posZ,q0,qi,qj,qk,pitch,yaw,roll
250320185317.334,0.020,0.9151,1.3614,-2.9871,0.9942,0.1071,0.0000,0.0000,12.3000,0.0000,0.0000
250320185317.350,0.140,0.9151,1.3614,-2.9871,0.9942,0.1071,0.0000,0.0000,12.3000,0.0000,0.0000
250320185317.727,0.260,0.9151,1.3614,-2.9871,0.9942,0.1071,0.0000,0.0000,12.3000,0.0000,0.0000
250320185317.741,0.380,0.9151,1.3614,-2.9871,0.9942,0.1071,0.0000,0.0000,12.3000,0.0000,0.0000
250320185317.758,0.500,0.9151,1.3614,-2.9871,0.9942,0.1071,0.0000,0.0000,12.3000,0.0000,0.0000
250320185318.120,0.620,0.9151,1.3614,-2.9871,0.9942,0.1071,0.0000,0.0000,12.3000,0.0000,0.0000
250320185318.134,0.740,0.9151,1.3614,-2.9871,0.9942,0.1071,0.0000,0.0000,12.3000,0.0000,0.0000
250320185318.173,0.860,0.9151,1.3614,-2.9871,0.9942,0.1071,0.0000,0.0000,12.3000,0.0000,0.0000
250320185318.301,0.980,0.9151,1.3614,-2.9871,0.9942,0.1071,0.0000,0.0000,12.3000,0.0000,0.0000
250320185318.502,1.100,0.9151,1.3614,-2.9871,0.9942,0.1071,0.0000,0.0000,12.3000,0.0000,0.0000
250320185318.509,1.220,0.9151,1.3614,-2.9871,0.9942,0.1071,0.0000,0.0000,12.3000,0.0000,0.0000
250320185318.726,1.340,0.9151,1.3614,-2.9871,0.9942,0.1071,0.0000,0.0000,12.3000,0.0000,0.0000
250320185318.742,1.460,0.9151,1.3614,-2.9871,0.9942,0.1071,0.0000,0.0000,12.3000,0.0000,0.0000
250320185318.926,1.580,0.9151,1.3614,-2.9871,0.9942,0.1071,0.0000,0.0000,12.3000,0.0000,0.0000
250320185319.112,1.700,0.9151,1.3614,-2.9871,0.9942,0.1071,0.0000,0.0000,12.3000,0.0000,0.0000
250320185319.127,1.820,0.9151,1.3614,-2.9871,0.9942,0.1071,0.0000,0.0000,12.3000,0.0000,0.0000
250320185319.318,1.940,0.9151,1.3614,-2.9871,0.9942,0.1071,0.0000,0.0000,12.3000,0.0000,0.0000
250320185319.504,2.060,0.9151,1.3614,-2.9871,0.9942,0.1071,0.0000,0.0000,12.3000,0.0000,0.0000
250320185319.520,2.180,0.9151,1.3614,-2.9871,0.9942,0.1071,0.0000,0.0000,12.3000,0.0000,0.0000
250320185319.705,2.300,0.9151,1.3614,-2.9871,0.9942,0.1071,0.0000,0.0000,12.3000,0.0000,0.0000
250320185319.719,2.420,0.9151,1.3614,-2.9871,0.9942,0.1071,0.0000,0.0000,12.3000,0.0000,0.0000
250320185319.908,2.540,0.9151,1.3614,-2.9871,0.9942,0.1071,0.0000,0.0000,12.3000,0.0000,0.0000
250320185320.093,2.660,0.9151,1.3614,-2.9871,0.9942,0.1071,0.0000,0.0000,12.3000,0.0000,0.0000
250320185320.108,2.780,0.9151,1.3614,-2.9871,0.9942,0.1071,0.0000,0.0000,12.3000,0.0000,0.0000
250320185320.295,2.900,0.9151,1.3614,-2.9871,0.9942,0.1071,0.0000,0.0000,12.3000,0.0000,0.0000
250320185320.311,3.020,0.9151,1.3614,-2.9871,0.9942,0.1071,0.0000,0.0000,12.3000,0.0000,0.0000
250320185320.505,3.140,0.9151,1.3614,-2.9871,0.9942,0.1071,0.0000,0.0000,12.3000,0.0000,0.0000
250320185320.682,3.260,0.9151,1.3614,-2.9871,0.9942,0.1071,0.0000,0.0000,12.3000,0.0000,0.0000
250320185320.698,3.380,0.9151,1.3614,-2.9871,0.9942,0.1071,0.0000,0.0000,12.3000,0.0000,0.0000
250320185320.885,3.500,0.9151,1.3614,-2.9871,0.9942,0.1071,0.0000,0.0000,12.3000,0.0000,0.0000
250320185320.902,3.620,0.9151,1.3614,-2.9871,0.9942,0.1071,0.0000,0.0000,12.3000,0.0000,0.0000
250320185321.092,3.740,0.9151,1.3614,-2.9871,0.9942,0.1071,0.0000,0.0000,12.3000,0.0000,0.0000
250320185321.277,3.860,0.9151,1.3614,-2.9871,0.9942,0.1071,0.0000,0.0000,12.3000,0.0000,0.0000
250320185321.291,3.980,0.9151,1.3614,-2.9871,0.9942,0.1071,0.0000,0.0000,12.3000,0.0000,0.0000
250320185321.482,4.100,0.9151,1.3614,-2.9871,0.9942,0.1071,0.0000,0.0000,12.3000,0.0000,0.0000
250320185321.498,4.220,0.9151,1.3614,-2.9871,0.9942,0.1071,0.0000,0.0000,12.3000,0.0000,0.0000
250320185321.685,4.340,0.9151,1.3614,-2.9871,0.9942,0.1071,0.0000,0.0000,12.3000,0.0000,0.0000
250320185321.869,4.460,0.9151,1.3614,-2.9871,0.9942,0.1071,0.0000,0.0000,12.3000,0.0000,0.0000
250320185321.885,4.580,0.9151,1.3614,-2.9871,0.9942,0.1071,0.0000,0.0000,12.3000,0.0000,0.0000
250320185322.075,4.700,0.9151,1.3614,-2.9871,0.9942,0.1071,0.0000,0.0000,12.3000,0.0000,0.0000
250320185322.261,4.820,0.9151,1.3614,-2.9871,0.9942,0.1071,0.0000,0.0000,12.3000,0.0000,0.0000
250320185322.275,4.940,0.9151,1.3614,-2.9871,0.9942,0.1071,0.0000,0.0000,12.3000,0.0000,0.0000
250320185322.462,5.060,0.9151,1.3614,-2.9871,0.9942,0.1071,0.0000,0.0000,12.3000,0.0000,0.0000
250320185322.477,5.180,0.9151,1.3614,-2.9871,0.9942,0.1071,0.0000,0.0000,12.3000,0.0000,0.0000
250320185322.655,5.300,0.9151,1.3614,-2.9871,0.9942,0.1071,0.0000,0.0000,12.3000,0.0000,0.0000
250320185322.859,5.420,0.9151,1.3614,-2.9871,0.9942,0.1071,0.0000,0.0000,12.3000,0.0000,0.0000
250320185322.875,5.540,0.9151,1.3614,-2.9871,0.9942,0.1071,0.0000,0.0000,12.3000,0.0000,0.0000
250320185323.053,5.660,0.9151,1.3614,-2.9871,0.9998,-0.0175,0.0000,0.0000,358.0000,0.0000,0.0000
250320185323.068,5.780,0.9151,1.3614,-2.9871,0.9998,-0.0175,0.0000,0.0000,358.0000,0.0000,0.0000
250320185323.251,5.900,0.9151,1.3614,-2.9871,0.9976,-0.0689,0.0000,0.0000,352.1000,0.0000,0.0000
250320185323.443,6.020,0.9151,1.3614,-2.9871,0.9976,-0.0689,0.0000,0.0000,352.1000,0.0000,0.0000
250320185323.462,6.140,0.9151,1.3614,-2.9871,0.9976,-0.0689,0.0000,0.0000,352.1000,0.0000,0.0000
250320185323.644,6.260,0.9151,1.3614,-2.9871,0.9976,-0.0689,0.0000,0.0000,352.1000,0.0000,0.0000
250320185323.660,6.380,0.9151,1.3614,-2.9871,0.9976,-0.0689,0.0000,0.0000,352.1000,0.0000,0.0000
250320185323.801,6.500,0.9151,1.3614,-2.9871,0.9976,-0.0689,0.0000,0.0000,352.1000,0.0000,0.0000
250320185323.924,6.620,0.9151,1.3614,-2.9871,0.9976,-0.0689,0.0000,0.0000,352.1000,0.0000,0.0000
250320185324.048,6.740,0.9151,1.3614,-2.9871,0.9976,-0.0689,0.0000,0.0000,352.1000,0.0000,0.0000
250320185324.176,6.860,0.9151,1.3614,-2.9871,0.9976,-0.0689,0.0000,0.0000,352.1000,0.0000,0.0000
250320185324.319,6.980,0.9151,1.3614,-2.9871,0.9928,-0.1201,0.0000,0.0000,346.2000,0.0000,0.0000
250320185324.425,7.100,0.9151,1.3614,-2.9871,0.9798,-0.2002,0.0000,0.0000,336.9000,0.0000,0.0000
250320185324.555,7.220,0.9151,1.3614,-2.9871,0.9686,-0.2487,0.0000,0.0000,331.2000,0.0000,0.0000
250320185324.678,7.340,0.9151,1.3614,-2.9871,0.9686,-0.2487,0.0000,0.0000,331.2000,0.0000,0.0000
250320185324.804,7.460,0.9151,1.3614,-2.9871,0.9686,-0.2487,0.0000,0.0000,331.2000,0.0000,0.0000
250320185325.084,7.580,0.9151,1.3614,-2.9871,0.9767,-0.2147,0.0000,0.0000,335.2000,0.0000,0.0000
250320185325.101,7.700,0.9151,1.3614,-2.9871,0.9767,-0.2147,0.0000,0.0000,335.2000,0.0000,0.0000
250320185325.116,7.820,0.9151,1.3614,-2.9871,0.9767,-0.2147,0.0000,0.0000,335.2000,0.0000,0.0000
250320185325.356,7.940,0.9151,1.3614,-2.9871,0.9803,-0.1977,0.0000,0.0000,337.2000,0.0000,0.0000
250320185325.373,8.060,0.9151,1.3614,-2.9871,0.9803,-0.1977,0.0000,0.0000,337.2000,0.0000,0.0000
