datetime,sessionTime,RRi
250320190421.377,0.000,650.391
250320190421.377,0.000,707.031
250320190422.363,1.040,714.844
250320190423.425,2.100,863.281
250320190424.341,3.020,828.125
250320190425.260,3.940,793.945
250320190425.260,3.940,791.992
250320190426.315,5.000,722.656
250320190427.370,6.060,663.086
250320190427.370,6.060,672.852
250320190428.288,6.980,675.781
250320190428.288,6.980,631.836
250320190429.341,8.020,608.398
250320190430.392,9.080,603.516
250320190430.392,9.080,603.516
250320190431.316,10.000,597.656
250320190431.316,10.000,590.820
250320190432.371,11.060,626.953
250320190433.296,11.980,637.695
250320190433.296,11.980,619.141
250320190434.338,13.040,610.352
250320190435.278,13.960,635.742
250320190435.278,13.960,640.625
250320190436.331,15.020,615.234
250320190437.271,15.960,609.375
250320190437.271,15.960,638.672
250320190438.329,17.020,685.547
250320190439.381,18.060,653.320
250320190439.381,18.060,646.484
250320190440.300,18.980,719.727
250320190442.027,19.900,709.961
250320190442.027,19.900,680.664
250320190442.333,20.520,754.883
250320190443.255,21.440,730.469
250320190443.255,21.440,673.828
250320190444.431,22.620,662.109
250320190445.370,23.560,701.172
250320190446.298,24.480,754.883
250320190447.351,25.540,710.938
250320190447.351,25.540,751.953
250320190448.273,26.460,801.758
250320190449.329,27.520,723.633
250320190449.329,27.520,669.922
250320190450.374,28.560,740.234
250320190451.313,29.500,768.555
250320190452.361,30.560,721.680
250320190452.362,30.560,770.508
250320190453.292,31.480,795.898
250320190454.332,32.520,713.867
250320190454.332,32.520,651.367
250320190455.276,33.460,633.789
250320190456.337,34.520,671.875
250320190457.389,35.580,736.328
250320190457.389,35.580,733.398
250320190458.317,36.500,790.039
250320190459.374,37.560,785.156
250320190500.293,38.480,808.594
250320190501.349,39.540,806.641
250320190501.349,39.540,842.773
250320190502.537,39.920,818.359
250320190503.361,41.060,751.953
250320190504.287,41.980,773.438
250320190504.287,41.980,731.445
250320190505.341,43.040,753.906
250320190506.267,43.960,733.398
250320190507.322,45.020,714.844
250320190507.322,45.020,719.727
250320190508.371,46.060,680.664
250320190508.371,46.060,644.531
250320190509.298,47.000,633.789
250320190510.347,48.040,668.945
250320190511.400,49.100,753.906
250320190512.320,50.020,755.859
250320190512.320,50.020,766.602
250320190513.374,51.080,743.164
250320190514.303,52.000,750.977
250320190514.303,52.000,740.234
250320190515.356,53.060,705.078
250320190516.279,53.980,698.242
250320190516.279,53.980,690.430
250320190517.329,55.020,645.508
250320190518.256,55.960,625.000
250320190518.256,55.960,634.766
250320190519.322,57.020,625.000
250320190520.377,58.080,602.539
250320190520.377,58.080,621.094
250320190521.294,59.000,648.438
250320190521.294,59.000,637.695
250320190523.155,60.060,627.930
250320190523.330,60.540,680.664
250320190524.257,61.460,716.797
250320190524.257,61.460,695.313
250320190525.314,62.520,737.305
250320190526.369,63.580,751.953
250320190526.370,63.580,720.703
250320190527.296,64.500,729.492
250320190528.345,65.560,685.547
250320190529.276,66.480,674.805
250320190529.276,66.480,719.727
250320190530.326,67.540,706.055
250320190531.399,68.600,703.125
250320190532.315,69.520,800.781
250320190532.315,69.520,752.930
250320190533.381,70.580,766.602
250320190534.300,71.500,757.813
250320190535.351,72.560,788.086
250320190536.406,73.620,870.117
250320190536.406,73.620,833.984
250320190537.324,74.540,762.695
250320190538.378,75.580,837.891
250320190539.301,76.500,818.359
250320190540.349,77.560,740.234
250320190540.350,77.560,739.258
250320190541.272,78.480,758.789
250320190542.328,79.540,737.305
250320190543.660,80.060,745.117
250320190543.660,80.060,832.031
250320190544.359,81.060,767.578
250320190545.418,82.120,775.391
250320190546.339,83.040,888.672
250320190547.279,83.980,831.055
250320190547.279,83.980,805.664
250320190548.329,85.040,810.547
250320190549.258,85.960,743.164
250320190550.443,87.140,708.008
250320190550.443,87.140,724.609
250320190551.371,88.080,729.492
250320190552.291,89.000,738.281
250320190553.342,90.040,840.820
250320190554.401,91.100,744.141
250320190554.401,91.100,756.836
250320190555.322,92.020,856.445
250320190556.381,93.080,833.984
250320190557.312,94.020,831.055
250320190558.364,95.060,882.813
250320190559.299,96.000,820.313
250320190559.300,96.000,804.688
250320190600.353,97.060,801.758
250320190601.277,97.980,739.258
250320190602.338,99.040,705.078
250320190602.338,99.040,759.766
250320190603.259,99.960,791.016
250320190604.359,100.580,769.531
250320190605.269,101.500,756.836
250320190605.269,101.500,788.086
250320190606.343,102.560,740.234
250320190607.270,103.480,750.000
250320190608.326,104.540,799.805
250320190608.326,104.540,737.305
250320190609.388,105.600,709.961
250320190610.283,106.500,719.727
250320190610.283,106.500,726.563
250320190611.376,107.600,686.523
250320190612.287,108.500,751.953
250320190613.342,109.560,786.133
250320190613.342,109.560,722.656
250320190614.263,110.480,728.516
250320190615.312,111.520,750.000
250320190616.366,112.580,704.102
250320190616.366,112.580,719.727
250320190617.292,113.480,767.578
250320190618.332,114.500,735.352
250320190619.362,115.540,750.000
250320190619.362,115.540,810.547
250320190620.264,116.440,750.977
250320190621.288,117.460,756.836
250320190641.353,136.740,635.742
250320190641.353,136.740,625.977
250320190642.289,137.680,612.305
250320190643.272,138.660,620.117
250320190643.272,138.660,650.391
