datetime,sessionTime,ExciteOMeter
250320200858.875,0.160,0.47575
250320200858.875,0.160,0.52072
250320200858.875,1.160,0.69290
250320200858.875,2.160,0.84837
250320200858.875,2.160,0.78093
250320200858.875,3.180,0.62449
250320200858.875,4.180,0.58125
250320200858.875,4.180,0.56093
250320200858.875,5.180,0.40823
250320200858.875,6.200,0.43534
250320200858.875,6.200,0.47954
250320200858.875,7.200,0.40179
250320200858.875,8.200,0.22695
250320200858.875,9.200,0.06164
250320200858.875,9.200,0.18456
250320200858.875,10.200,0.11411
250320200858.875,11.200,0.34068
250320200858.875,11.200,0.40174
250320200858.875,12.200,0.52012
250320200858.875,13.200,0.62359
250320200858.875,13.200,0.66829
250320200858.875,13.780,0.64522
250320200858.875,14.700,0.57618
250320200858.875,14.700,0.50612
250320200858.875,15.700,0.29695
250320200858.875,16.700,0.47842
250320200858.875,16.700,0.54607
250320200858.875,17.720,0.32902
250320200858.875,18.740,0.18887
250320200858.875,19.760,0.13465
250320200858.875,19.760,0.09491
250320200858.875,20.620,0.07882
250320200858.875,21.760,0.30011
250320200858.875,21.760,0.24133
250320200858.875,22.620,0.11436
250320200858.875,23.780,0.09614
250320200858.875,24.640,0.13342
250320200858.875,24.640,0.10743
250320200858.875,25.640,0.21231
250320200858.875,26.640,0.34359
250320200858.875,26.640,0.16044
250320200858.875,27.800,0.24423
250320200858.875,28.660,0.07260
250320200858.875,29.800,0.07448
250320200858.875,29.800,0.08553
250320200858.876,30.660,0.22940
250320200858.876,31.660,0.11388
250320200858.876,32.660,0.21271
250320200858.876,32.660,0.15928
250320200858.876,33.680,0.19690
250320200858.876,33.820,0.35904
250320200858.876,33.820,0.43124
250320200858.876,35.160,0.50629
250320200858.876,36.180,0.53301
250320200858.876,37.180,0.45515
250320200858.876,37.180,0.43026
250320200858.876,38.180,0.51186
250320200858.876,39.240,0.62576
250320200858.876,39.240,0.63138
250320200858.876,40.140,0.59032
250320200858.876,41.240,0.56212
250320200858.876,41.240,0.51245
250320200858.876,42.140,0.34655
250320200858.876,43.160,0.56550
250320200858.876,43.160,0.68785
250320200858.876,44.260,0.77203
250320200858.876,45.140,0.75928
250320200858.876,45.140,0.77067
250320200858.876,46.260,0.77898
250320200858.876,47.140,0.63821
250320200858.876,47.140,0.79404
250320200858.876,48.260,0.86353
250320200858.876,49.140,0.91656
250320200858.876,49.140,0.89210
250320200858.876,50.260,0.85657
250320200858.876,51.140,0.81899
250320200858.876,51.140,0.74877
250320200858.876,52.260,0.75220
250320200858.876,53.140,0.80307
250320200858.876,53.140,0.76760
250320200858.876,53.920,0.76665
250320200858.876,54.820,0.65808
250320200858.876,54.820,0.58802
250320200858.876,55.840,0.60405
250320200858.876,56.840,0.77276
250320200858.876,56.840,0.79673
250320200858.876,57.840,0.78859
250320200858.876,58.860,0.82483
250320200858.876,58.860,0.76925
250320200858.876,59.860,0.85186
250320200858.876,60.840,0.92584
250320200858.876,60.840,0.92086
250320200858.876,61.960,0.90937
250320200858.876,62.800,0.90937
250320200858.876,62.800,0.89200
