datetime,sessionTime,RMSSD
250320200800.396,0.160,12.571
250320200800.396,0.160,12.571
250320200800.538,1.160,12.923
250320200801.400,2.160,10.875
250320200802.390,2.160,12.314
250320200803.405,3.180,17.332
250320200803.545,4.180,18.244
250320200804.406,4.180,19.253
250320200805.404,5.180,23.064
250320200805.546,6.200,24.093
250320200806.405,6.200,24.999
250320200807.414,7.200,25.123
250320200807.552,8.200,25.825
250320200808.662,9.200,24.949
250320200809.401,9.200,21.384
250320200809.541,10.200,21.766
250320200810.405,11.200,21.361
250320200811.407,11.200,17.756
250320200811.549,12.200,18.535
250320200812.410,13.200,19.222
250320200813.454,13.200,18.171
250320200814.445,13.780,17.589
250320200814.600,14.700,17.794
250320200815.313,14.700,17.311
250320200816.460,15.700,20.737
250320200816.604,16.700,21.378
250320200817.326,16.700,20.279
250320200818.472,17.720,22.800
250320200819.330,18.740,22.486
250320200819.472,19.760,22.489
250320200820.335,19.760,25.057
250320200821.341,20.620,25.632
250320200821.486,21.760,27.001
250320200822.489,21.760,23.553
250320200823.348,22.620,23.839
250320200824.494,23.780,21.562
250320200824.641,24.640,20.029
250320200825.361,24.640,21.742
250320200826.355,25.640,23.385
250320200827.368,26.640,20.047
250320200827.513,26.640,20.970
250320200828.372,27.800,18.964
250320200829.188,28.660,23.686
250320200829.197,29.800,24.270
250320200830.358,29.800,24.225
250320200831.362,30.660,24.366
250320200832.368,31.660,21.544
250320200832.509,32.660,18.606
250320200833.363,32.660,19.439
250320200834.390,33.680,18.729
250320200834.498,33.820,19.351
250320200835.275,33.820,13.398
250320200836.383,35.160,10.007
250320200836.496,36.180,10.528
250320200837.294,37.180,12.206
250320200838.293,37.180,14.054
250320200838.410,38.180,14.583
250320200839.408,39.240,15.153
250320200840.296,39.240,13.838
250320200840.409,40.140,14.455
250320200841.412,41.240,14.481
250320200842.298,41.240,16.596
250320200842.404,42.140,17.445
250320200843.405,43.160,16.260
250320200844.295,43.160,13.900
250320200844.402,44.260,14.521
250320200845.400,45.140,12.898
250320200846.297,45.140,11.629
250320200846.404,46.260,12.189
250320200847.409,47.140,12.228
250320200848.296,47.140,11.355
250320200848.407,48.260,9.825
250320200849.620,49.140,9.496
250320200850.304,49.140,9.523
250320200850.415,50.260,9.695
250320200851.310,51.140,9.429
250320200852.321,51.140,13.250
250320200852.427,52.260,13.933
250320200853.323,53.140,13.872
250320200854.323,53.140,12.970
250320200854.444,53.920,12.641
250320200855.359,54.820,13.422
250320200856.343,54.820,13.489
250320200856.485,55.840,13.841
250320200857.467,56.840,13.841
250320200858.302,56.840,9.726
250320200858.448,57.840,9.015
250320200858.874,58.860,9.015
250320200858.874,58.860,9.015
250320200858.874,59.860,9.015
250320200858.874,60.840,9.015
250320200858.874,60.840,9.015
250320200858.874,61.960,9.015
250320200858.874,62.800,9.015
250320200858.874,62.800,9.015
