datetime,sessionTime,SDNN
250320201059.918,9.160,38.216
250320201110.544,19.720,21.251
250320201120.593,29.780,15.628
250320201131.117,39.180,26.453
250320201141.146,49.220,27.872
250320201151.725,59.740,14.789
250320201201.818,69.680,20.116
250320201219.563,79.940,24.409
250320201229.561,89.980,21.023
250320201240.066,99.560,11.226
250320201250.179,109.520,10.609
250320201300.785,119.920,21.431
250320201310.878,129.860,9.928
250320201321.416,140.440,11.458
250320201331.490,150.540,20.039
250320201342.113,159.920,21.666
250320201352.210,169.860,13.541
250320201402.729,180.480,8.109
250320201412.779,190.380,11.531
250320201423.549,200.700,13.483
250320201433.676,210.720,9.039
250320201444.264,220.280,11.259
250320201454.264,230.160,6.309
250320201504.862,240.820,13.368
250320201515.583,251.300,7.399
