datetime,sessionTime,type,message,details
250320201101.331,10.500,Screenshots,screen_1920x1080_0.jpg,NONE
250320201121.860,30.520,Screenshots,screen_1920x1080_1.jpg,NONE
250320201142.401,50.560,Screenshots,screen_1920x1080_2.jpg,NONE
250320201202.944,70.580,Screenshots,screen_1920x1080_3.jpg,NONE
250320201230.809,90.720,Screenshots,screen_1920x1080_4.jpg,NONE
250320201251.411,110.820,Screenshots,screen_1920x1080_5.jpg,NONE
250320201311.999,130.880,Screenshots,screen_1920x1080_6.jpg,NONE
250320201332.590,150.980,Screenshots,screen_1920x1080_7.jpg,NONE
250320201353.159,171.040,Screenshots,screen_1920x1080_8.jpg,NONE
250320201413.730,191.100,Screenshots,screen_1920x1080_9.jpg,NONE
250320201434.461,211.160,Screenshots,screen_1920x1080_10.jpg,NONE
250320201455.057,231.280,Screenshots,screen_1920x1080_11.jpg,NONE
250320201515.556,251.300,Screenshots,screen_1920x1080_12.jpg,NONE
